Homo sapiens,Caenorhabditis elegans,Relations,ID
723790,172860,n:m,
723790,172860,n:m,
723790,172860,n:m,
723790,172860,n:m,
723790,172860,n:m,
723790,179339,n:m,
723790,172860,n:m,
653604,191672,n:m,
653604,191672,n:m,
653604,191672,n:m,538853
653604,191672,n:m,
653604,191672,n:m,
653604,191672,n:m,
653604,191672,n:m,
653604,191672,n:m,
653604,191672,n:m,
653604,191672,n:m,
653604,191672,n:m,
653604,191672,n:m,
653604,191672,n:m,
653604,191672,n:m,
653604,191672,n:m,
121504,188792,n:m,
121504,188792,n:m,588998
121504,188792,n:m,
121504,188792,n:m,
121504,188792,n:m,
121504,188792,n:m,
121504,188792,n:m,
121504,188792,n:m,
121504,188792,n:m,
121504,188792,n:m,
121504,188792,n:m,
121504,188792,n:m,
121504,188792,n:m,
121504,188792,n:m,
121504,188792,n:m,
121504,188792,n:m,
8349,175026,n:m,
8349,175026,n:m,
8349,175026,n:m,
8349,186326,n:m,
8349,175026,n:m,
8349,175026,n:m,
8349,186326,n:m,
8349,186326,n:m,
8349,186326,n:m,
8349,191670,n:m,
8349,CAEEL14858,n:m,
8349,191670,n:m,
8349,191670,n:m,
8349,191670,n:m,731221
8349,191670,n:m,
8349,179340,n:m,
8349,191670,n:m,
8338,172860,n:m,
8338,172860,n:m,
8338,172860,n:m,
8338,172860,n:m,
8338,172860,n:m,
8338,172860,n:m,
8338,172860,n:m,
8338,172860,n:m,
8338,172860,n:m,
8338,172860,n:m,
8338,172860,n:m,
8338,172860,n:m,
8338,172860,n:m,
8338,172860,n:m,
8338,172860,n:m,
8338,179339,n:m,
8338,172860,n:m,
317772,172860,n:m,
317772,172860,n:m,
317772,172860,n:m,
317772,172860,n:m,
317772,172860,n:m,
317772,172860,n:m,
317772,172860,n:m,957743
317772,172860,n:m,
317772,172860,n:m,
317772,172860,n:m,
317772,172860,n:m,
317772,172860,n:m,
317772,172860,n:m,
317772,172860,n:m,
317772,172860,n:m,
317772,179339,n:m,
317772,172860,n:m,
51027,176890,01:01,816171
10262,4363023,01:01,594098
11311,180449,01:01,785277
81611,173372,n:m,
81611,CAEEL13946,n:m,
51107,172747,n:1,932695
54460,185109,01:01,340542
29956,177660,n:m,
29956,180743,n:m,
29765,172275,n:1,
8394,172184,n:1,538211
5710,172977,01:01,953566
5298,180443,01:01,
8991,178360,01:01,929724
5692,172674,01:01,960770
81609,172937,01:01,
2312,172266,01:01,
3713,54162170,01:01,
3608,179965,01:01,
4881,172051,n:1,
65123,3565441,01:01,757259
9909,186100,01:01,
27173,173376,01:01,594999
6232,178538,n:1,
91181,172348,n:1,
7170,173319,n:1,
89872,174467,n:m,
89872,180589,n:m,
89872,180744,n:m,
HUMAN01769,177256,n:1,712702
55585,172941,n:1,747576
10654,179508,01:01,944088
1163,177658,01:01,921458
127579,353452,01:01,
HUMAN01805,186667,01:01,
2629,177314,1:m,
2629,178535,1:m,
