"Gene","Tau","InteractionType","ARC_Connected","ARC_Connected_Threshold","Dataset"
"PPP4C",0.165538291,"Ind",1,"1","PPI"
"PPP4R1",0.179643358,"Ind",1,"1","PPI"
"PPP4R2",0.213934987,"Ind",3,"3","PPI"
"PPP5C",0.119655797,"Ind",2,"2","PPI"
"PPP6C",0.128110782,"Ind",1,"1","PPI"
"PPP6R3",0.160086904,"Ind",1,"1","PPI"
"PPT1",0.207395267,"Ind",2,"2","PPI"
"PQBP1",0.145455741,"Ind",2,"2","PPI"
"PRAF2",0.280673613,"Ind",1,"1","PPI"
"PRAM1",0.757843261,"Ind",1,"1","PPI"
"PRAME",0.971280121,"Ind",1,"1","PPI"
"PRC1",0.60481156,"Ind",3,"3","PPI"
"PRCC",0.112112912,"Ind",1,"1","PPI"
"PRDM2",0.227816773,"Ind",1,"1","PPI"
"PRDM6",0.837149714,"Ind",1,"1","PPI"
"PRDX1",0.143653006,"Ind",2,"2","PPI"
"PRDX2",0.161188692,"Ind",1,"1","PPI"
"PRDX3",0.200975259,"Ind",2,"2","PPI"
"PRDX4",0.240033623,"Ind",1,"1","PPI"
"PRDX6",0.127166211,"Ind",1,"1","PPI"
"PRKAA1",0.154625915,"Ind",4,"4+","PPI"
"PRKAA2",0.624073344,"Ind",1,"1","PPI"
"PRKAB1",0.212864752,"Ind",1,"1","PPI"
"PRKAB2",0.271294226,"Ind",2,"2","PPI"
"PRKACA",0.166737106,"Ind",4,"4+","PPI"
"PRKAG1",0.10026911,"Ind",1,"1","PPI"
"PRKAG2",0.292732489,"Ind",1,"1","PPI"
"PRKAG3",0.997939069,"Ind",1,"1","PPI"
"PRKAR1A",0.115158286,"Ind",1,"1","PPI"
"PRKAR2A",0.268457328,"Ind",1,"1","PPI"
"PRKCA",0.450746162,"Ind",2,"2","PPI"
"PRKCD",0.320202013,"Ind",3,"3","PPI"
"PRKCE",0.599871775,"Ind",1,"1","PPI"
"PRKCG",0.966529835,"Ind",1,"1","PPI"
"PRKCI",0.256295035,"Ind",2,"2","PPI"
"PRKCSH",0.142917072,"Ind",1,"1","PPI"
"PRKCZ",0.622591665,"Ind",2,"2","PPI"
"PRKD1",0.363070851,"Ind",1,"1","PPI"
"PRKDC",0.216041731,"Ind",3,"3","PPI"
"PRLR",0.796917314,"Ind",1,"1","PPI"
"PRMT1",0.13503869,"Ind",3,"3","PPI"
"PRMT2",0.229037974,"Ind",1,"1","PPI"
"PRMT5",0.146480577,"Ind",3,"3","PPI"
"PRMT6",0.219712259,"Ind",2,"2","PPI"
"PRNP",0.194630376,"Ind",1,"1","PPI"
"PROS1",0.407515233,"Ind",2,"2","PPI"
"PRPF19",0.115103246,"Ind",4,"4+","PPI"
"PRPF3",0.172750382,"Ind",3,"3","PPI"
"PRPF31",0.113690756,"Ind",2,"2","PPI"
"PRPF38A",0.214310197,"Ind",1,"1","PPI"
"PRPF4",0.158373377,"Ind",1,"1","PPI"
"PRPF40A",0.147338257,"Ind",3,"3","PPI"
"PRPF4B",0.15822743,"Ind",2,"2","PPI"
"PRPF6",0.105079515,"Ind",3,"3","PPI"
"PRPF8",0.140524816,"Ind",4,"4+","PPI"
"PRPH",0.743259969,"Ind",1,"1","PPI"
"PRPS1",0.139603889,"Ind",1,"1","PPI"
"PRPS2",0.4507958,"Ind",1,"1","PPI"
"PRR12",0.220807967,"Ind",1,"1","PPI"
"PRR16",0.483836697,"Ind",1,"1","PPI"
"PRRC2A",0.2043582,"Ind",3,"3","PPI"
"PRRC2C",0.127140861,"Ind",3,"3","PPI"
"PSAP",0.071026078,"Ind",1,"1","PPI"
"PSEN1",0.187096413,"Ind",3,"3","PPI"
"PSEN2",0.18005483,"Ind",2,"2","PPI"
"PSENEN",0.279977522,"Ind",1,"1","PPI"
"PSKH1",0.203206293,"Ind",1,"1","PPI"
"PSMA1",0.08011181,"Ind",2,"2","PPI"
"PSMA2",0.082459607,"Ind",1,"1","PPI"
"PSMA3",0.08189174,"Ind",3,"3","PPI"
"PSMA4",0.144868567,"Ind",2,"2","PPI"
"PSMA5",0.088238505,"Ind",1,"1","PPI"
"PSMA6",0.213894241,"Ind",1,"1","PPI"
"PSMA7",0.143360569,"Ind",1,"1","PPI"
"PSMA8",1,"Ind",1,"1","PPI"
"PSMB1",0.084121775,"Ind",1,"1","PPI"
"PSMB2",0.110980456,"Ind",1,"1","PPI"
"PSMB3",0.119083503,"Ind",1,"1","PPI"
"PSMB4",0.07188926,"Ind",1,"1","PPI"
"PSMB5",0.152063999,"Ind",1,"1","PPI"
"PSMB6",0.107953869,"Ind",1,"1","PPI"
"PSMB7",0.129802512,"Ind",1,"1","PPI"
"PSMB8",0.243960387,"Ind",1,"1","PPI"
"PSMC1",0.215699717,"Ind",2,"2","PPI"
"PSMC2",0.127903891,"Ind",4,"4+","PPI"
"PSMC3",0.107741017,"Ind",3,"3","PPI"
"PSMC4",0.083758585,"Ind",3,"3","PPI"
"PSMC5",0.07448427,"Ind",2,"2","PPI"
"PSMC6",0.113331617,"Ind",2,"2","PPI"
"PSMD1",0.167506674,"Ind",2,"2","PPI"
"PSMD10",0.12962938,"Ind",3,"3","PPI"
"PSMD11",0.152642564,"Ind",2,"2","PPI"
"PSMD12",0.175978681,"Ind",1,"1","PPI"
"PSMD13",0.068653391,"Ind",2,"2","PPI"
"PSMD14",0.189622025,"Ind",2,"2","PPI"
"PSMD2",0.162472363,"Ind",2,"2","PPI"
"PSMD3",0.147029263,"Ind",1,"1","PPI"
"PSMD4",0.12024818,"Ind",4,"4+","PPI"
"PSMD5",0.155656673,"Ind",1,"1","PPI"
"PSMD6",0.218800767,"Ind",2,"2","PPI"
"PSMD7",0.172085265,"Ind",1,"1","PPI"
"PSMD8",0.187973548,"Ind",2,"2","PPI"
"PSMD9",0.125005581,"Ind",1,"1","PPI"
"PSME3",0.140795168,"Ind",4,"4+","PPI"
"PSPC1",0.223266916,"Ind",1,"1","PPI"
"PSRC1",0.512650311,"Ind",1,"1","PPI"
"PSTPIP1",0.717787283,"Ind",2,"2","PPI"
"PSTPIP2",0.567778877,"Ind",2,"2","PPI"
"PTBP1",0.10767819,"Ind",1,"1","PPI"
"PTBP3",0.207879542,"Ind",1,"1","PPI"
"PTCD3",0.182649593,"Ind",2,"2","PPI"
"PTCH1",0.56754887,"Ind",1,"1","PPI"
"PTEN",0.217648123,"Ind",5,"4+","PPI"
"PTF1A",0.989277728,"Ind",1,"1","PPI"
"PTGER4",0.428926025,"Ind",1,"1","PPI"
"PTGES3",0.137131401,"Ind",4,"4+","PPI"
"PTGIR",0.556165344,"Ind",1,"1","PPI"
"PTH1R",0.529602713,"Ind",1,"1","PPI"
"PTK2",0.271835639,"Ind",2,"2","PPI"
"PTK2B",0.389784459,"Ind",3,"3","PPI"
"PTK6",0.705696152,"Ind",1,"1","PPI"
"PTK7",0.481773026,"Ind",1,"1","PPI"
"PTMA",0.108393169,"Ind",2,"2","PPI"
"PTOV1",0.177544624,"Ind",1,"1","PPI"
"PTP4A3",0.298085914,"Ind",1,"1","PPI"
"PTPDC1",0.576284849,"Ind",1,"1","PPI"
"PTPMT1",0.355084278,"Ind",1,"1","PPI"
"PTPN1",0.224596338,"Ind",2,"2","PPI"
"PTPN12",0.200805147,"Ind",2,"2","PPI"
"PTPN2",0.205479553,"Ind",1,"1","PPI"
"PTPN22",0.807151498,"Ind",1,"1","PPI"
"PTPN23",0.163229912,"Ind",1,"1","PPI"
"PTPN3",0.545615411,"Ind",2,"2","PPI"
"PTPN4",0.406307819,"Ind",1,"1","PPI"
"PTPN6",0.522933545,"Ind",3,"3","PPI"
"PTPRA",0.149242819,"Ind",2,"2","PPI"
"PTPRB",0.473988877,"Ind",2,"2","PPI"
"PTPRE",0.476748755,"Ind",1,"1","PPI"
"PTPRF",0.259055362,"Ind",1,"1","PPI"
"PTPRG",0.374636405,"Ind",1,"1","PPI"
"PTPRJ",0.447210601,"Ind",1,"1","PPI"
"PTPRN",0.907795935,"Ind",1,"1","PPI"
"PTPRO",0.874864762,"Ind",2,"2","PPI"
"PTPRR",0.930055401,"Ind",2,"2","PPI"
"PTPRZ1",0.812357756,"Ind",2,"2","PPI"
"PTRH2",0.236754076,"Ind",2,"2","PPI"
"PTTG1",0.680477973,"Ind",1,"1","PPI"
"PUM1",0.144877905,"Ind",1,"1","PPI"
"PUM2",0.117746863,"Ind",2,"2","PPI"
"PURA",0.282315567,"Ind",2,"2","PPI"
"PURB",0.140946686,"Ind",2,"2","PPI"
"PWP2",0.767725704,"Ind",1,"1","PPI"
"PXN",0.202399812,"Ind",3,"3","PPI"
"PYCR1",0.412763615,"Ind",1,"1","PPI"
"PYGB",0.239354472,"Ind",2,"2","PPI"
"PYGL",0.42843502,"Ind",1,"1","PPI"
"PYGO2",0.158044326,"Ind",1,"1","PPI"
"PYHIN1",0.865313859,"Ind",4,"4+","PPI"
"QKI",0.403916843,"Ind",1,"1","PPI"
"QRSL1",0.229088793,"Ind",1,"1","PPI"
"RAB11A",0.155111248,"Ind",1,"1","PPI"
"RAB27A",0.325969594,"Ind",1,"1","PPI"
"RAB27B",0.683143607,"Ind",1,"1","PPI"
"RAB2A",0.136247209,"Ind",1,"1","PPI"
"RAB33B",0.272545845,"Ind",1,"1","PPI"
"RAB35",0.137417267,"Ind",1,"1","PPI"
"RAB3A",0.648603329,"Ind",2,"2","PPI"
"RAB5A",0.121233469,"Ind",2,"2","PPI"
"RAB5C",0.108007446,"Ind",1,"1","PPI"
"RAB7A",0.082254604,"Ind",4,"4+","PPI"
"RAB7B",0.575527047,"Ind",1,"1","PPI"
"RAB9A",0.198657718,"Ind",3,"3","PPI"
"RABAC1",0.117186814,"Ind",1,"1","PPI"
"RABEP1",0.165541167,"Ind",2,"2","PPI"
"RABGAP1L",0.325157832,"Ind",1,"1","PPI"
"RABGEF1",0.319192477,"Ind",3,"3","PPI"
"RABGGTA",0.154628813,"Ind",1,"1","PPI"
"RABGGTB",0.141954611,"Ind",1,"1","PPI"
"RABL6",0.141990571,"Ind",1,"1","PPI"
"RAC1",0.105213506,"Ind",3,"3","PPI"
"RAC3",0.516302407,"Ind",1,"1","PPI"
"RAD18",0.3332942,"Ind",1,"1","PPI"
"RAD21",0.11691822,"Ind",1,"1","PPI"
"RAD50",0.190636176,"Ind",2,"2","PPI"
"RAD51",0.911353092,"Ind",2,"2","PPI"
"RAD51C",0.459078304,"Ind",1,"1","PPI"
"RAD51D",0.465758304,"Ind",1,"1","PPI"
"RAD52",0.277690159,"Ind",1,"1","PPI"
"RAD54B",0.900013782,"Ind",1,"1","PPI"
"RAD9A",0.203600164,"Ind",1,"1","PPI"
"RAE1",0.389214338,"Ind",1,"1","PPI"
"RAF1",0.126341027,"Ind",3,"3","PPI"
"RAI14",0.367385837,"Ind",1,"1","PPI"
"RALA",0.250301344,"Ind",1,"1","PPI"
"RALBP1",0.272871706,"Ind",2,"2","PPI"
"RALY",0.141144643,"Ind",3,"3","PPI"
"RAN",0.120586434,"Ind",1,"1","PPI"
"RANBP2",0.200015831,"Ind",1,"1","PPI"
"RANBP9",0.290670508,"Ind",2,"2","PPI"
"RANGAP1",0.290746063,"Ind",1,"1","PPI"
"RAP1A",0.240803141,"Ind",1,"1","PPI"
"RAP1GDS1",0.343110253,"Ind",1,"1","PPI"
"RAPGEF1",0.218882912,"Ind",2,"2","PPI"
"RAPGEF2",0.22082019,"Ind",1,"1","PPI"
"RAPH1",0.453506763,"Ind",1,"1","PPI"
"RARA",0.240989719,"Ind",4,"4+","PPI"
"RARB",0.356673372,"Ind",1,"1","PPI"
"RASA1",0.19665296,"Ind",2,"2","PPI"
"RASD1",0.367086304,"Ind",1,"1","PPI"
"RASD2",0.605010961,"Ind",1,"1","PPI"
"RASGRP3",0.499408394,"Ind",1,"1","PPI"
"RASSF1",0.195548985,"Ind",3,"3","PPI"
"RASSF3",0.398607119,"Ind",1,"1","PPI"
"RASSF5",0.456348234,"Ind",2,"2","PPI"
"RASSF7",0.314673662,"Ind",2,"2","PPI"
"RASSF8",0.368318089,"Ind",2,"2","PPI"
"RASSF9",0.583232744,"Ind",1,"1","PPI"
"RB1",0.181465574,"Ind",4,"4+","PPI"
"RB1CC1",0.184703222,"Ind",2,"2","PPI"
"RBBP4",0.186956162,"Ind",3,"3","PPI"
"RBBP5",0.161433501,"Ind",4,"4+","PPI"
"RBBP6",0.202598916,"Ind",2,"2","PPI"
"RBBP7",0.226794691,"Ind",3,"3","PPI"
"RBBP8",0.34572431,"Ind",1,"1","PPI"
"RBCK1",0.117815298,"Ind",3,"3","PPI"
"RBFOX1",0.94223579,"Ind",1,"1","PPI"
"RBFOX2",0.270401384,"Ind",3,"3","PPI"
"RBL1",0.396134827,"Ind",2,"2","PPI"
"RBL2",0.10879411,"Ind",3,"3","PPI"
"RBM10",0.146212334,"Ind",2,"2","PPI"
"RBM11",0.729121215,"Ind",1,"1","PPI"
"RBM14",0.172530681,"Ind",2,"2","PPI"
"RBM15",0.447248616,"Ind",1,"1","PPI"
"RBM15B",0.177733724,"Ind",1,"1","PPI"
"RBM17",0.141409141,"Ind",3,"3","PPI"
"RBM19",0.227620544,"Ind",1,"1","PPI"
"RBM22",0.148260826,"Ind",1,"1","PPI"
"RBM23",0.203229866,"Ind",2,"2","PPI"
"RBM25",0.165840357,"Ind",2,"2","PPI"
"RBM28",0.284004149,"Ind",2,"2","PPI"
"RBM3",0.133039056,"Ind",1,"1","PPI"
"RBM33",0.22964168,"Ind",1,"1","PPI"
"RBM34",0.489325586,"Ind",1,"1","PPI"
"RBM39",0.126490114,"Ind",3,"3","PPI"
"RBM4",0.107931607,"Ind",1,"1","PPI"
"RBM45",0.250597953,"Ind",2,"2","PPI"
"RBM47",0.446319358,"Ind",3,"3","PPI"
"RBM7",0.235026501,"Ind",1,"1","PPI"
"RBM8A",0.136025783,"Ind",1,"1","PPI"
"RBMS1",0.216537345,"Ind",1,"1","PPI"
"RBMS2",0.37557228,"Ind",1,"1","PPI"
"RBMX",0.209185122,"Ind",4,"4+","PPI"
"RBMX2",0.23654864,"Ind",2,"2","PPI"
"RBMXL1",0.257671721,"Ind",2,"2","PPI"
"RBPJ",0.202005621,"Ind",2,"2","PPI"
"RBPMS",0.316075565,"Ind",3,"3","PPI"
"RBSN",0.201511331,"Ind",1,"1","PPI"
"RBX1",0.082764675,"Ind",4,"4+","PPI"
"RC3H1",0.177285524,"Ind",4,"4+","PPI"
"RC3H2",0.176127501,"Ind",3,"3","PPI"
"RCAN1",0.284298551,"Ind",1,"1","PPI"
"RCHY1",0.196677028,"Ind",2,"2","PPI"
"RCN1",0.219561733,"Ind",1,"1","PPI"
"RCN3",0.254382811,"Ind",1,"1","PPI"
"RCOR1",0.264833213,"Ind",3,"3","PPI"
"RCOR3",0.203518315,"Ind",2,"2","PPI"
"RECQL4",0.576030288,"Ind",2,"2","PPI"
"REEP4",0.329755572,"Ind",1,"1","PPI"
"REEP5",0.169361332,"Ind",1,"1","PPI"
"REL",0.468664684,"Ind",2,"2","PPI"
"RELA",0.123179534,"Ind",4,"4+","PPI"
"RELB",0.275861952,"Ind",1,"1","PPI"
"REPS2",0.483986027,"Ind",2,"2","PPI"
"REST",0.249405787,"Ind",2,"2","PPI"
"RET",0.798863976,"Ind",1,"1","PPI"
"REXO4",0.162689335,"Ind",3,"3","PPI"
"RFC1",0.171258905,"Ind",1,"1","PPI"
"RFC4",0.301681275,"Ind",1,"1","PPI"
"RFC5",0.271924546,"Ind",5,"4+","PPI"
"RFFL",0.304088993,"Ind",4,"4+","PPI"
"RFWD3",0.422686496,"Ind",2,"2","PPI"
"RFXANK",0.168291668,"Ind",1,"1","PPI"
"RGS2",0.241890508,"Ind",1,"1","PPI"
"RGS20",0.978772177,"Ind",1,"1","PPI"
"RGS4",0.772178354,"Ind",1,"1","PPI"
"RGS7",0.950490321,"Ind",1,"1","PPI"
"RHEB",0.122000667,"Ind",1,"1","PPI"
"RHOA",0.130430283,"Ind",4,"4+","PPI"
"RICTOR",0.218933735,"Ind",1,"1","PPI"
"RIF1",0.280277445,"Ind",1,"1","PPI"
"RIN1",0.430248274,"Ind",1,"1","PPI"
"RING1",0.166749058,"Ind",4,"4+","PPI"
"RINT1",0.149658447,"Ind",1,"1","PPI"
"RIOK1",0.222061105,"Ind",1,"1","PPI"
"RIPK1",0.123196582,"Ind",1,"1","PPI"
"RIPK2",0.307927891,"Ind",1,"1","PPI"
"RIPK4",0.555404327,"Ind",4,"4+","PPI"
"RLIM",0.204370812,"Ind",2,"2","PPI"
"RMND5A",0.208670522,"Ind",1,"1","PPI"
"RNF10",0.18510573,"Ind",2,"2","PPI"
"RNF103",0.230818243,"Ind",1,"1","PPI"
"RNF11",0.163627099,"Ind",3,"3","PPI"
"RNF111",0.163332041,"Ind",2,"2","PPI"
"RNF114",0.221144752,"Ind",2,"2","PPI"
"RNF115",0.240916629,"Ind",2,"2","PPI"
"RNF123",0.338859737,"Ind",1,"1","PPI"
"RNF125",0.574252485,"Ind",2,"2","PPI"
"RNF126",0.206720314,"Ind",2,"2","PPI"
"RNF128",0.645561042,"Ind",1,"1","PPI"
"RNF13",0.226865342,"Ind",1,"1","PPI"
"RNF130",0.244732364,"Ind",2,"2","PPI"
"RNF14",0.217521039,"Ind",1,"1","PPI"
"RNF146",0.153308593,"Ind",3,"3","PPI"
"RNF166",0.388985955,"Ind",1,"1","PPI"
"RNF167",0.093506709,"Ind",2,"2","PPI"
"RNF168",0.383803523,"Ind",2,"2","PPI"
"RNF180",0.5367464,"Ind",1,"1","PPI"
"RNF181",0.076348554,"Ind",2,"2","PPI"
"RNF185",0.157018466,"Ind",3,"3","PPI"
"RNF187",0.136037841,"Ind",1,"1","PPI"
"RNF19A",0.17807271,"Ind",1,"1","PPI"
"RNF19B",0.409887971,"Ind",1,"1","PPI"
"RNF2",0.285234944,"Ind",4,"4+","PPI"
"RNF216",0.253944963,"Ind",2,"2","PPI"
"RNF25",0.171779771,"Ind",3,"3","PPI"
"RNF26",0.184821187,"Ind",3,"3","PPI"
"RNF31",0.151152351,"Ind",3,"3","PPI"
"RNF32",0.933906898,"Ind",1,"1","PPI"
"RNF4",0.128182064,"Ind",4,"4+","PPI"
"RNF41",0.164410818,"Ind",2,"2","PPI"
"RNF43",0.561624363,"Ind",3,"3","PPI"
"RNF5",0.121201516,"Ind",4,"4+","PPI"
"RNF6",0.244462303,"Ind",1,"1","PPI"
"RNF7",0.136464755,"Ind",3,"3","PPI"
"RNF8",0.376313235,"Ind",3,"3","PPI"
"RNPS1",0.112837564,"Ind",3,"3","PPI"
"RPA1",0.141736045,"Ind",3,"3","PPI"
"RPA2",0.199736231,"Ind",2,"2","PPI"
"RPA3",0.22809106,"Ind",1,"1","PPI"
"RPA4",1,"Ind",1,"1","PPI"
"RPAP1",0.153394961,"Ind",2,"2","PPI"
"RPAP2",0.339174474,"Ind",2,"2","PPI"
"RPAP3",0.278266875,"Ind",2,"2","PPI"
"RPF2",0.143078824,"Ind",1,"1","PPI"
"RPGRIP1",0.997661449,"Ind",1,"1","PPI"
"RPGRIP1L",0.788752995,"Ind",1,"1","PPI"
"RPL10",0.137997888,"Ind",4,"4+","PPI"
"RPL10A",0.15735034,"Ind",3,"3","PPI"
"RPL10L",0.997692502,"Ind",2,"2","PPI"
"RPL11",0.150944301,"Ind",4,"4+","PPI"
"RPL12",0.144805955,"Ind",4,"4+","PPI"
"RPL13",0.159113345,"Ind",4,"4+","PPI"
"RPL13A",0.129134199,"Ind",3,"3","PPI"
"RPL14",0.17709257,"Ind",3,"3","PPI"
"RPL15",0.160355669,"Ind",3,"3","PPI"
"RPL17",0.15339615,"Ind",3,"3","PPI"
"RPL18",0.167226519,"Ind",4,"4+","PPI"
"RPL18A",0.156520345,"Ind",3,"3","PPI"
"RPL19",0.121701164,"Ind",3,"3","PPI"
"RPL21",0.142355472,"Ind",3,"3","PPI"
"RPL22",0.182735611,"Ind",3,"3","PPI"
"RPL23",0.186872158,"Ind",4,"4+","PPI"
"RPL23A",0.181180203,"Ind",3,"3","PPI"
"RPL24",0.14815454,"Ind",3,"3","PPI"
"RPL26",0.159197109,"Ind",3,"3","PPI"
"RPL26L1",0.352019894,"Ind",2,"2","PPI"
"RPL27",0.114427798,"Ind",3,"3","PPI"
"RPL27A",0.152658293,"Ind",3,"3","PPI"
"RPL28",0.15269707,"Ind",4,"4+","PPI"
"RPL29",0.141850206,"Ind",1,"1","PPI"
"RPL3",0.149496249,"Ind",3,"3","PPI"
"RPL30",0.180398879,"Ind",3,"3","PPI"
"RPL31",0.187178875,"Ind",4,"4+","PPI"
"RPL32",0.156990671,"Ind",2,"2","PPI"
"RPL35",0.117759897,"Ind",3,"3","PPI"
"RPL35A",0.175349251,"Ind",1,"1","PPI"
"RPL36",0.173906469,"Ind",4,"4+","PPI"
"RPL36AL",0.127337726,"Ind",1,"1","PPI"
"RPL37A",0.157329207,"Ind",4,"4+","PPI"
"RPL38",0.150676385,"Ind",1,"1","PPI"
"RPL39",0.199380772,"Ind",1,"1","PPI"
"RPL3L",0.933722483,"Ind",2,"2","PPI"
"RPL4",0.13536437,"Ind",3,"3","PPI"
"RPL5",0.163308532,"Ind",3,"3","PPI"
"RPL6",0.144195319,"Ind",3,"3","PPI"
"RPL7",0.155376396,"Ind",5,"4+","PPI"
"RPL7A",0.141969313,"Ind",4,"4+","PPI"
"RPL7L1",0.134264562,"Ind",2,"2","PPI"
"RPL8",0.134185183,"Ind",4,"4+","PPI"
"RPL9",0.146958617,"Ind",4,"4+","PPI"
"RPLP0",0.118226338,"Ind",4,"4+","PPI"
"RPLP1",0.109006942,"Ind",3,"3","PPI"
"RPN1",0.12141884,"Ind",3,"3","PPI"
"RPN2",0.097589814,"Ind",1,"1","PPI"
"RPP30",0.238141141,"Ind",1,"1","PPI"
"RPP40",0.397391062,"Ind",1,"1","PPI"
"RPRD1A",0.151452725,"Ind",2,"2","PPI"
"RPRD1B",0.227032258,"Ind",2,"2","PPI"
"RPRD2",0.220630235,"Ind",1,"1","PPI"
"RPS10",0.142282931,"Ind",3,"3","PPI"
"RPS11",0.130646769,"Ind",3,"3","PPI"
"RPS12",0.132237398,"Ind",3,"3","PPI"
"RPS13",0.135516993,"Ind",3,"3","PPI"
"RPS14",0.137207189,"Ind",3,"3","PPI"
"RPS15",0.135781072,"Ind",3,"3","PPI"
"RPS15A",0.192259464,"Ind",5,"4+","PPI"
"RPS16",0.143038821,"Ind",4,"4+","PPI"
"RPS17",0.150494966,"Ind",3,"3","PPI"
"RPS18",0.134700916,"Ind",3,"3","PPI"
"RPS19",0.146397663,"Ind",3,"3","PPI"
"RPS2",0.133972813,"Ind",3,"3","PPI"
"RPS20",0.155737246,"Ind",3,"3","PPI"
"RPS21",0.150544392,"Ind",2,"2","PPI"
"RPS23",0.184853263,"Ind",3,"3","PPI"
"RPS24",0.172876878,"Ind",4,"4+","PPI"
"RPS25",0.145265248,"Ind",4,"4+","PPI"
"RPS26",0.12682789,"Ind",4,"4+","PPI"
"RPS27A",0.139939389,"Ind",2,"2","PPI"
"RPS28",0.112142633,"Ind",3,"3","PPI"
"RPS29",0.18602626,"Ind",1,"1","PPI"
"RPS3",0.19187652,"Ind",5,"4+","PPI"
"RPS3A",0.158022968,"Ind",4,"4+","PPI"
"RPS4X",0.171813125,"Ind",5,"4+","PPI"
"RPS5",0.158192339,"Ind",4,"4+","PPI"
"RPS6",0.138633676,"Ind",6,"4+","PPI"
"RPS6KA1",0.494625893,"Ind",2,"2","PPI"
"RPS6KA4",0.178527305,"Ind",1,"1","PPI"
"RPS6KA6",0.69486833,"Ind",1,"1","PPI"
"RPS6KB1",0.191581971,"Ind",2,"2","PPI"
"RPS6KB2",0.200391653,"Ind",4,"4+","PPI"
"RPS7",0.14864262,"Ind",3,"3","PPI"
"RPS8",0.184781961,"Ind",4,"4+","PPI"
"RPS9",0.159440405,"Ind",4,"4+","PPI"
"RPSA",0.132045244,"Ind",4,"4+","PPI"
"RPTOR",0.223833072,"Ind",3,"3","PPI"
"RRAD",0.467623765,"Ind",1,"1","PPI"
"RRAGA",0.114782923,"Ind",1,"1","PPI"
"RRAGC",0.19132136,"Ind",1,"1","PPI"
"RRAS",0.257484703,"Ind",1,"1","PPI"
"RRAS2",0.18872981,"Ind",1,"1","PPI"
"RRBP1",0.192058025,"Ind",1,"1","PPI"
"RRP1",0.159450553,"Ind",1,"1","PPI"
"RRP12",0.262788237,"Ind",2,"2","PPI"
"RRP15",0.270975204,"Ind",1,"1","PPI"
"RRP1B",0.24920277,"Ind",3,"3","PPI"
"RRP8",0.235838049,"Ind",1,"1","PPI"
"RSBN1",0.239888205,"Ind",2,"2","PPI"
"RSL1D1",0.23474069,"Ind",1,"1","PPI"
"RSPO1",0.745664743,"Ind",1,"1","PPI"
"RSPO2",0.775205294,"Ind",1,"1","PPI"
"RSPO3",0.551571106,"Ind",1,"1","PPI"
"RSPO4",0.871991525,"Ind",1,"1","PPI"
"RSRC1",0.314253663,"Ind",1,"1","PPI"
"RSRC2",0.10886765,"Ind",1,"1","PPI"
"RTCB",0.126090211,"Ind",2,"2","PPI"
"RTEL1",0.272767491,"Ind",1,"1","PPI"
"RTN1",0.691880174,"Ind",1,"1","PPI"
"RTN3",0.282159906,"Ind",1,"1","PPI"
"RTN4",0.144136808,"Ind",3,"3","PPI"
"RUNX1",0.503830081,"Ind",1,"1","PPI"
"RUNX1T1",0.508873114,"Ind",2,"2","PPI"
"RUVBL1",0.235980855,"Ind",4,"4+","PPI"
"RUVBL2",0.381855273,"Ind",4,"4+","PPI"
"RXRA",0.183593618,"Ind",4,"4+","PPI"
"RXRB",0.127880254,"Ind",2,"2","PPI"
"RXRG",0.775339409,"Ind",2,"2","PPI"
"RYBP",0.212452866,"Ind",3,"3","PPI"
"RYK",0.245240964,"Ind",1,"1","PPI"
"S100A1",0.742658038,"Ind",1,"1","PPI"
"S100A10",0.206807543,"Ind",2,"2","PPI"
"S100A3",0.727666697,"Ind",1,"1","PPI"
"S100B",0.644733331,"Ind",1,"1","PPI"
"SAE1",0.1994942,"Ind",1,"1","PPI"
"SAFB",0.105389692,"Ind",1,"1","PPI"
"SAFB2",0.175756488,"Ind",2,"2","PPI"
"SAMM50",0.192696836,"Ind",1,"1","PPI"
"SAP130",0.385705342,"Ind",1,"1","PPI"
"SAP25",0.344078105,"Ind",1,"1","PPI"
"SAP30",0.271234679,"Ind",2,"2","PPI"
"SAP30BP",0.194745931,"Ind",1,"1","PPI"
"SAP30L",0.21979104,"Ind",1,"1","PPI"
"SARAF",0.12515725,"Ind",1,"1","PPI"
"SART1",0.130919151,"Ind",2,"2","PPI"
"SART3",0.15845068,"Ind",1,"1","PPI"
"SASH1",0.375523653,"Ind",2,"2","PPI"
"SASS6",0.58835111,"Ind",1,"1","PPI"
"SATB1",0.245894969,"Ind",1,"1","PPI"
"SBF1",0.254946254,"Ind",2,"2","PPI"
"SCAF8",0.172547116,"Ind",1,"1","PPI"
"SCAND1",0.094227953,"Ind",5,"4+","PPI"
"SCAP",0.236141546,"Ind",1,"1","PPI"
"SCARB1",0.559707294,"Ind",1,"1","PPI"
"SCGN",0.810786332,"Ind",1,"1","PPI"
"SCML2",0.7486563,"Ind",1,"1","PPI"
"SCN1A",0.921558648,"Ind",1,"1","PPI"
"SCN3B",0.804363837,"Ind",1,"1","PPI"
"SCN5A",0.935572592,"Ind",1,"1","PPI"
"SCO1",0.163071512,"Ind",1,"1","PPI"
"SCP2",0.302217416,"Ind",1,"1","PPI"
"SCYL1",0.087814146,"Ind",1,"1","PPI"
"SCYL2",0.129883131,"Ind",1,"1","PPI"
"SDAD1",0.151802625,"Ind",1,"1","PPI"
"SDC2",0.323216748,"Ind",1,"1","PPI"
