"","Gen","Tau","TypInt","Num","TypNum","Dts"
"94","ASTN2",0.682696445,"Dir",1,"1","EndAll"
"95","ASXL1",0.152156792,"Dir",1,"1","EndAll"
"96","ATG13",0.216172531,"Dir",1,"1","EndAll"
"97","ATG16L2",0.395700721,"Dir",1,"1","EndAll"
"98","ATG4C",0.225479752,"Dir",1,"1","EndAll"
"99","ATG4D",0.343483214,"Dir",1,"1","EndAll"
"100","ATG7",0.24438114,"Dir",1,"1","EndAll"
"101","ATP13A1",0.168476197,"Dir",1,"1","EndAll"
"102","ATP1B1",0.276746644,"Dir",2,"2","EndAll"
"103","ATP4B",0.993521476,"Dir",1,"1","EndAll"
"104","ATP5MJ",0.127139911,"Dir",1,"1","EndAll"
"105","ATP6V0D1",0.173926419,"Dir",1,"1","EndAll"
"106","ATP6V0D1-DT",0.658269449,"Dir",1,"1","EndAll"
"107","ATRNL1",0.800154815,"Dir",1,"1","EndAll"
"108","ATXN1L",0.165579229,"Dir",1,"1","EndAll"
"109","ATXN2",0.198534189,"Dir",2,"2","EndAll"
"110","ATXN2-AS",0.972347087,"Dir",2,"2","EndAll"
"111","AVIL",0.401911702,"Dir",1,"1","EndAll"
"112","AXIN1",0.124729651,"Dir",1,"1","EndAll"
"113","AZIN1",0.104098537,"Dir",1,"1","EndAll"
"114","B4GALT4",0.275075064,"Dir",1,"1","EndAll"
"115","B4GALT4-AS1",1,"Dir",1,"1","EndAll"
"116","B9D2",0.330881986,"Dir",1,"1","EndAll"
"117","BABAM2",0.428552349,"Dir",2,"2","EndAll"
"118","BAD",0.120744784,"Dir",1,"1","EndAll"
"119","BAK1",0.257553869,"Dir",1,"1","EndAll"
"120","BAZ2A",0.14167286,"Dir",1,"1","EndAll"
"121","BCAR1",0.193424998,"Dir",1,"1","EndAll"
"122","BCAS2",0.120205314,"Dir",1,"1","EndAll"
"123","BCL2L14",0.956697018,"Dir",1,"1","EndAll"
"124","BCL2L15",0.899797207,"Dir",1,"1","EndAll"
"125","BCL3",0.236674587,"Dir",1,"1","EndAll"
"126","BCL6",0.206191044,"Dir",1,"1","EndAll"
"127","BDNF-AS",0.581186765,"Dir",1,"1","EndAll"
"128","BDP1",0.265379373,"Dir",1,"1","EndAll"
"129","BLK",0.911603352,"Dir",1,"1","EndAll"
"130","BLOC1S3",0.247246148,"Dir",1,"1","EndAll"
"131","BLZF1",0.284064296,"Dir",1,"1","EndAll"
"132","BMS1P4",0.355372329,"Dir",1,"1","EndAll"
"133","BRAP",0.446035929,"Dir",2,"2","EndAll"
"134","BRAT1",0.185556495,"Dir",1,"1","EndAll"
"135","BRD7",0.173355618,"Dir",1,"1","EndAll"
"136","BRMS1L",0.273747765,"Dir",1,"1","EndAll"
"137","BROX",0.165781561,"Dir",1,"1","EndAll"
"138","BTG4",1,"Dir",1,"1","EndAll"
"139","BTN1A1",1,"Dir",4,"4+","EndAll"
"140","BTN2A1",0.217535701,"Dir",5,"4+","EndAll"
"141","BTN2A2",0.383030508,"Dir",3,"3","EndAll"
"142","BTN3A1",0.37301921,"Dir",5,"4+","EndAll"
"143","BTN3A2",0.38135913,"Dir",3,"3","EndAll"
"144","BTN3A3",0.371835462,"Dir",4,"4+","EndAll"
"145","BTRC",0.297714373,"Dir",1,"1","EndAll"
"146","BUD13",0.232243177,"Dir",2,"2","EndAll"
"147","C11orf24",0.209826011,"Dir",1,"1","EndAll"
"148","C12orf73",0.266858461,"Dir",1,"1","EndAll"
"149","C13orf42",1,"Dir",1,"1","EndAll"
"150","C15orf39",0.425823866,"Dir",1,"1","EndAll"
"151","C16orf86",0.534644801,"Dir",1,"1","EndAll"
"152","C17orf67",0.46807896,"Dir",1,"1","EndAll"
"153","C19orf38",0.84298626,"Dir",1,"1","EndAll"
"154","C19orf73",0.668857029,"Dir",2,"2","EndAll"
"155","C1GALT1",0.252889795,"Dir",2,"2","EndAll"
"156","C1GALT1C1L",0.807338598,"Dir",3,"3","EndAll"
"157","C1orf112",0.66666703,"Dir",1,"1","EndAll"
"158","C1orf159",0.425064072,"Dir",1,"1","EndAll"
"159","C1orf185",1,"Dir",1,"1","EndAll"
"160","C1orf198",0.319388114,"Dir",1,"1","EndAll"
"161","C1orf35",0.226887587,"Dir",1,"1","EndAll"
"162","C1QL1",0.676395807,"Dir",1,"1","EndAll"
"163","C1QTNF12",0.685117869,"Dir",1,"1","EndAll"
"164","C1QTNF4",0.714975321,"Dir",1,"1","EndAll"
"165","C20orf144",1,"Dir",1,"1","EndAll"
"166","C2orf16",0.998547198,"Dir",2,"2","EndAll"
"167","C6orf58",0.990661993,"Dir",1,"1","EndAll"
"168","C8B",0.992456764,"Dir",1,"1","EndAll"
"169","C8orf34",0.971784754,"Dir",1,"1","EndAll"
"170","C8orf74",1,"Dir",1,"1","EndAll"
"171","CA14",0.821761217,"Dir",1,"1","EndAll"
"172","CACNA1D",0.71507919,"Dir",1,"1","EndAll"
"173","CACNB2",0.469298044,"Dir",1,"1","EndAll"
"174","CACNG1",0.980955716,"Dir",1,"1","EndAll"
"175","CACNG4",0.87842084,"Dir",1,"1","EndAll"
"176","CADM2",0.888055423,"Dir",1,"1","EndAll"
"177","CAGE1",1,"Dir",1,"1","EndAll"
"178","CALU",0.233421185,"Dir",1,"1","EndAll"
"179","CAMK2G",0.313422503,"Dir",1,"1","EndAll"
"180","CAMKMT",0.500729477,"Dir",1,"1","EndAll"
"181","CAMP",0.919065226,"Dir",1,"1","EndAll"
"182","CAMSAP2",0.229137697,"Dir",1,"1","EndAll"
"183","CAP1",0.223981766,"Dir",1,"1","EndAll"
"184","CAPN12",0.77280444,"Dir",1,"1","EndAll"
"185","CARD9",0.667080548,"Dir",1,"1","EndAll"
"186","CARF",0.373344914,"Dir",1,"1","EndAll"
"187","CARM1",0.219488257,"Dir",1,"1","EndAll"
"188","CARMIL1",0.404793766,"Dir",3,"3","EndAll"
"189","CARMIL2",0.78954336,"Dir",1,"1","EndAll"
"190","CASC15",0.8556836,"Dir",2,"2","EndAll"
"191","CASQ2",0.60922944,"Dir",1,"1","EndAll"
"192","CASTOR1",0.335997678,"Dir",1,"1","EndAll"
"193","CASZ1",0.479833008,"Dir",1,"1","EndAll"
"194","CATSPERZ",0.978503312,"Dir",1,"1","EndAll"
"195","CAV2",0.347803841,"Dir",1,"1","EndAll"
"196","CAVIN2",0.322806538,"Dir",1,"1","EndAll"
"197","CAVIN2-AS1",1,"Dir",1,"1","EndAll"
"198","CAVIN4",0.938409343,"Dir",1,"1","EndAll"
"199","CBFA2T2",0.261748026,"Dir",1,"1","EndAll"
"200","CBLB",0.29190691,"Dir",1,"1","EndAll"
"201","CC2D2B",0.934471423,"Dir",1,"1","EndAll"
"202","CCDC134",0.536285855,"Dir",1,"1","EndAll"
"203","CCDC146",0.391692415,"Dir",1,"1","EndAll"
"204","CCDC157",0.816992073,"Dir",1,"1","EndAll"
"205","CCDC159",0.227095938,"Dir",1,"1","EndAll"
"206","CCDC181",0.859907117,"Dir",2,"2","EndAll"
"207","CCDC187",0.900367554,"Dir",1,"1","EndAll"
"208","CCDC192",0.984754643,"Dir",1,"1","EndAll"
"209","CCDC200",0.928584735,"Dir",1,"1","EndAll"
"210","CCDC88B",0.550193917,"Dir",1,"1","EndAll"
"211","CCL3",0.737766624,"Dir",1,"1","EndAll"
"212","CCL3-AS1",0.896617287,"Dir",1,"1","EndAll"
"213","CCL4",0.64220663,"Dir",1,"1","EndAll"
"214","CCNG2",0.257305397,"Dir",1,"1","EndAll"
"215","CCNJ",0.339294246,"Dir",1,"1","EndAll"
"216","CCNT1",0.218176063,"Dir",1,"1","EndAll"
"217","CCR7",0.738121699,"Dir",1,"1","EndAll"
"218","CD160",0.97372074,"Dir",1,"1","EndAll"
"219","CD274",0.693423112,"Dir",1,"1","EndAll"
"220","CD44",0.33123029,"Dir",1,"1","EndAll"
"221","CD69",0.556716404,"Dir",1,"1","EndAll"
"222","CDC123",0.153591504,"Dir",1,"1","EndAll"
"223","CDC25A",0.9187379,"Dir",1,"1","EndAll"
"224","CDC27",0.204818261,"Dir",1,"1","EndAll"
"225","CDC37",0.098953788,"Dir",1,"1","EndAll"
"226","CDC42EP1",0.180183078,"Dir",1,"1","EndAll"
"227","CDC5L",0.168885424,"Dir",1,"1","EndAll"
"228","CDC6",0.848970757,"Dir",1,"1","EndAll"
"229","CDHR2",0.915560206,"Dir",1,"1","EndAll"
"230","CDHR5",0.915098617,"Dir",1,"1","EndAll"
"231","CDK10",0.213586959,"Dir",1,"1","EndAll"
"232","CDK11A",0.211757619,"Dir",1,"1","EndAll"
"233","CDK11B",0.186411189,"Dir",1,"1","EndAll"
"234","CDK4",0.177779908,"Dir",1,"1","EndAll"
"235","CDK5RAP1",0.141300964,"Dir",1,"1","EndAll"
"236","CDKAL1",0.259668533,"Dir",2,"2","EndAll"
"237","CDKN2A",0.879833149,"Dir",3,"3","EndAll"
"238","CDKN2A-DT",1,"Dir",2,"2","EndAll"
"239","CDKN2B",0.538919966,"Dir",3,"3","EndAll"
"240","CDKN2B-AS1",0.945664283,"Dir",3,"3","EndAll"
"241","CDKN2D",0.471964329,"Dir",1,"1","EndAll"
"242","CEACAM16-AS1",0.813951899,"Dir",1,"1","EndAll"
"243","CEACAM22P",0.981780401,"Dir",1,"1","EndAll"
"244","CEACAM3",0.964960443,"Dir",1,"1","EndAll"
"245","CELF1",0.123566018,"Dir",1,"1","EndAll"
"246","CENPE",0.910119939,"Dir",3,"3","EndAll"
"247","CENPO",0.414884045,"Dir",1,"1","EndAll"
"248","CEP41",0.734225687,"Dir",2,"2","EndAll"
"249","CES3",0.767325187,"Dir",1,"1","EndAll"
"250","CES4A",0.472257801,"Dir",1,"1","EndAll"
"251","CFAP161",0.938640643,"Dir",1,"1","EndAll"
"252","CFAP221",0.914867762,"Dir",1,"1","EndAll"
"253","CFAP251",0.763637361,"Dir",1,"1","EndAll"
"254","CFAP43",0.87727348,"Dir",1,"1","EndAll"
"255","CFAP58",0.902781137,"Dir",1,"1","EndAll"
"256","CFAP58-DT",0.855121568,"Dir",1,"1","EndAll"
"257","CFAP73",0.942006661,"Dir",2,"2","EndAll"
"258","CFDP1",0.183337806,"Dir",2,"2","EndAll"
"259","CFL2",0.376408134,"Dir",1,"1","EndAll"
"260","CFTR",0.915148195,"Dir",1,"1","EndAll"
"261","CHCHD1",0.099370286,"Dir",1,"1","EndAll"
"262","CHDH",0.509503357,"Dir",1,"1","EndAll"
"263","CHMP4B",0.103004638,"Dir",1,"1","EndAll"
"264","CHP1",0.127603977,"Dir",1,"1","EndAll"
"265","CHRNA1",0.98429937,"Dir",1,"1","EndAll"
"266","CHST6",0.836982672,"Dir",1,"1","EndAll"
"267","CILP2",0.963255435,"Dir",1,"1","EndAll"
"268","CIP2A",0.739113089,"Dir",1,"1","EndAll"
"269","CISD2",0.172016858,"Dir",2,"2","EndAll"
"270","CKAP5",0.272454973,"Dir",1,"1","EndAll"
"271","CKM",0.753701409,"Dir",1,"1","EndAll"
"272","CKS1B",0.274345622,"Dir",1,"1","EndAll"
"273","CLASP1",0.119338234,"Dir",2,"2","EndAll"
"274","CLASRP",0.121753788,"Dir",1,"1","EndAll"
"275","CLCN6",0.201852184,"Dir",1,"1","EndAll"
"276","CLDN23",0.523002138,"Dir",1,"1","EndAll"
"277","CLDN7",0.524651225,"Dir",1,"1","EndAll"
"278","CLEC10A",0.443432614,"Dir",1,"1","EndAll"
"279","CLEC2A",1,"Dir",1,"1","EndAll"
"280","CLEC2B",0.322149088,"Dir",1,"1","EndAll"
"281","CLEC2D",0.517204596,"Dir",1,"1","EndAll"
"282","CLEC2L",0.980160376,"Dir",1,"1","EndAll"
"283","CLINT1",0.141196818,"Dir",1,"1","EndAll"
"284","CLIP3",0.387237672,"Dir",1,"1","EndAll"
"285","CLN8",0.324490308,"Dir",1,"1","EndAll"
"286","CLNK",0.947066644,"Dir",1,"1","EndAll"
"287","CLPB",0.720248239,"Dir",1,"1","EndAll"
"288","CLPTM1",0.136200381,"Dir",1,"1","EndAll"
"289","CLYBL",0.498795095,"Dir",1,"1","EndAll"
"290","CMIP",0.31201353,"Dir",1,"1","EndAll"
"291","CNGA3",0.944800503,"Dir",1,"1","EndAll"
"292","COBLL1",0.4188795,"Dir",1,"1","EndAll"
"293","COG5",0.289930485,"Dir",1,"1","EndAll"
"294","COL14A1",0.521142268,"Dir",1,"1","EndAll"
"295","COL17A1",0.77676405,"Dir",1,"1","EndAll"
"296","COL4A3",0.630613932,"Dir",2,"2","EndAll"
"297","COL4A4",0.599470042,"Dir",2,"2","EndAll"
"298","COMETT",1,"Dir",1,"1","EndAll"
"299","COMMD4",0.268274687,"Dir",1,"1","EndAll"
"300","COMP",0.667028287,"Dir",1,"1","EndAll"
"301","CP",0.651651903,"Dir",1,"1","EndAll"
"302","CPED1",0.527937115,"Dir",1,"1","EndAll"
"303","CPHL1P",0.994753965,"Dir",1,"1","EndAll"
"304","CPLX3",0.826564736,"Dir",1,"1","EndAll"
"305","CRACD",0.921606334,"Dir",1,"1","EndAll"
"306","CREB3L1",0.456207605,"Dir",1,"1","EndAll"
"307","CREB3L4",0.481242118,"Dir",1,"1","EndAll"
"308","CREBBP",0.200222822,"Dir",1,"1","EndAll"
"309","CRHR1",0.929577565,"Dir",2,"2","EndAll"
"310","CRIP3",0.749684385,"Dir",1,"1","EndAll"
"311","CRTC1",0.391824388,"Dir",1,"1","EndAll"
"312","CRTC3",0.25161995,"Dir",1,"1","EndAll"
"313","CRTC3-AS1",1,"Dir",1,"1","EndAll"
"314","CSF1",0.257966481,"Dir",1,"1","EndAll"
"315","CSK",0.331469375,"Dir",1,"1","EndAll"
"316","CSPG5",0.96917624,"Dir",1,"1","EndAll"
"317","CTCF",0.144793194,"Dir",1,"1","EndAll"
"318","CTCF-DT",0.96448329,"Dir",1,"1","EndAll"
"319","CTDNEP1",0.128516914,"Dir",1,"1","EndAll"
"320","CTDSP2",0.125140808,"Dir",1,"1","EndAll"
"321","CTDSPL2",0.241124955,"Dir",1,"1","EndAll"
"322","CTDSPL2-DT",1,"Dir",1,"1","EndAll"
"323","CTIF",0.230893764,"Dir",1,"1","EndAll"
"324","CTLA4",0.879961697,"Dir",1,"1","EndAll"
"325","CTRB1",0.876868339,"Dir",1,"1","EndAll"
"326","CTSB",0.252966793,"Dir",1,"1","EndAll"
"327","CTSH",0.321759069,"Dir",1,"1","EndAll"
"328","CTTNBP2NL",0.328285966,"Dir",1,"1","EndAll"
"329","CTXN3",0.950264425,"Dir",1,"1","EndAll"
"330","CUX2",0.89018054,"Dir",2,"2","EndAll"
"331","CYFIP2",0.448900137,"Dir",1,"1","EndAll"
"332","CYLD",0.179544455,"Dir",1,"1","EndAll"
"333","CYLD-AS1",0.911781879,"Dir",1,"1","EndAll"
"334","CYP1A1",0.667142653,"Dir",1,"1","EndAll"
"335","CYP20A1",0.291410621,"Dir",1,"1","EndAll"
"336","CYP27B1",0.887632731,"Dir",1,"1","EndAll"
"337","CYP2C19",0.952257355,"Dir",1,"1","EndAll"
"338","CYTH2",0.317710816,"Dir",1,"1","EndAll"
"339","DAB1",0.868240166,"Dir",1,"1","EndAll"
"340","DCAF16",0.264036503,"Dir",1,"1","EndAll"
"341","DCAKD",0.188853547,"Dir",1,"1","EndAll"
"342","DCBLD1",0.368534637,"Dir",1,"1","EndAll"
"343","DCLRE1B",0.399621869,"Dir",1,"1","EndAll"
"344","DCTN2",0.102840414,"Dir",1,"1","EndAll"
"345","DDB2",0.224668541,"Dir",1,"1","EndAll"
"346","DDIT3",0.197175226,"Dir",1,"1","EndAll"
"347","DDX4",1,"Dir",2,"2","EndAll"
"348","DDX47",0.868706063,"Dir",1,"1","EndAll"
"349","DDX54",0.135827027,"Dir",2,"2","EndAll"
"350","DDX56",0.172147974,"Dir",1,"1","EndAll"
"351","DDX59-AS1",0.925332736,"Dir",1,"1","EndAll"
"352","DENND2C",0.692042059,"Dir",1,"1","EndAll"
"353","DENND4C",0.194918455,"Dir",1,"1","EndAll"
"354","DEPTOR",0.382032862,"Dir",2,"2","EndAll"
"355","DGKB",0.928146879,"Dir",1,"1","EndAll"
"356","DGKE",0.369174079,"Dir",1,"1","EndAll"
"357","DGKZ",0.275055505,"Dir",1,"1","EndAll"
"358","DHODH",0.614984212,"Dir",1,"1","EndAll"
"359","DHX30",0.24756543,"Dir",1,"1","EndAll"
"360","DHX38",0.145126863,"Dir",1,"1","EndAll"
"361","DIP2B",0.263686953,"Dir",1,"1","EndAll"
"362","DISP1",0.435827239,"Dir",1,"1","EndAll"
"363","DLEU7",0.98542111,"Dir",1,"1","EndAll"
"364","DLG1",0.173463905,"Dir",1,"1","EndAll"
"365","DLG1-AS1",0.998594025,"Dir",1,"1","EndAll"
"366","DLG4",0.448104054,"Dir",1,"1","EndAll"
"367","DMTF1",0.165636018,"Dir",1,"1","EndAll"
"368","DNAH11",0.935553179,"Dir",1,"1","EndAll"
"369","DNAH2",0.937024316,"Dir",1,"1","EndAll"
"370","DNAJC15",0.223340622,"Dir",2,"2","EndAll"
"371","DNAJC4",0.307720296,"Dir",1,"1","EndAll"
"372","DNAJC6",0.837547834,"Dir",1,"1","EndAll"
"373","DNASE1",0.434023878,"Dir",1,"1","EndAll"
"374","DNLZ",0.276310091,"Dir",1,"1","EndAll"
"375","DNM2",0.14041709,"Dir",2,"2","EndAll"
"376","DNMT3A",0.297571141,"Dir",1,"1","EndAll"
"377","DOCK6",0.332748012,"Dir",1,"1","EndAll"
"378","DOK7",0.713152478,"Dir",1,"1","EndAll"
"379","DPEP3",0.978468026,"Dir",1,"1","EndAll"
"380","DPP4",0.603031415,"Dir",1,"1","EndAll"
"381","DPP4-DT",0.95653461,"Dir",1,"1","EndAll"
"382","DPT",0.36037448,"Dir",1,"1","EndAll"
"383","DPYSL5",0.954110467,"Dir",1,"1","EndAll"
"384","DRD4",0.568309582,"Dir",1,"1","EndAll"
"385","DRD5",0.993093331,"Dir",1,"1","EndAll"
"386","DSCAM",0.974556499,"Dir",2,"2","EndAll"
"387","DSEL",0.589147681,"Dir",1,"1","EndAll"
"388","DTX1",0.57101019,"Dir",2,"2","EndAll"
"389","DUS2",0.48493258,"Dir",1,"1","EndAll"
"390","DUSP16",0.303191512,"Dir",1,"1","EndAll"
"391","DUSP8P5",0.309566885,"Dir",1,"1","EndAll"
"392","DVL2",0.212340536,"Dir",1,"1","EndAll"
"393","DYNC1I1",0.639502806,"Dir",1,"1","EndAll"
"394","DYNC2LI1",0.313319259,"Dir",2,"2","EndAll"
"395","DZIP1L",0.535265787,"Dir",1,"1","EndAll"
"396","E2F1",0.591266915,"Dir",1,"1","EndAll"
"397","E2F3",0.356173498,"Dir",1,"1","EndAll"
"398","E2F4",0.104282284,"Dir",1,"1","EndAll"
"399","EAF2",0.631364954,"Dir",1,"1","EndAll"
"400","EBF2",0.765718939,"Dir",1,"1","EndAll"
"401","ECHDC1",0.17682746,"Dir",1,"1","EndAll"
"402","ECSIT",0.131092876,"Dir",1,"1","EndAll"
"403","EEF1AKMT3",0.295353106,"Dir",1,"1","EndAll"
"404","EFCAB13-DT",0.910884727,"Dir",1,"1","EndAll"
"405","EFCAB15P",0.898203821,"Dir",1,"1","EndAll"
"406","EFCAB3",1,"Dir",1,"1","EndAll"
"407","EFEMP1",0.388729785,"Dir",1,"1","EndAll"
"408","EFNA1",0.342826396,"Dir",1,"1","EndAll"
"409","EFR3B",0.859435632,"Dir",1,"1","EndAll"
"410","EFTUD2",0.130376484,"Dir",1,"1","EndAll"
"411","EHBP1",0.410638559,"Dir",1,"1","EndAll"
"412","EHBP1L1",0.224643952,"Dir",1,"1","EndAll"
"413","EHD4",0.264034208,"Dir",1,"1","EndAll"
"414","EIF2B4",0.17297066,"Dir",1,"1","EndAll"
"415","EIF4E1B",0.989203494,"Dir",1,"1","EndAll"
"416","ELAPOR2",0.478486183,"Dir",1,"1","EndAll"
"417","ELAVL3",0.975876152,"Dir",1,"1","EndAll"
"418","ELMO1",0.439168617,"Dir",1,"1","EndAll"
"419","ELP5",0.38095752,"Dir",1,"1","EndAll"
"420","EML2",0.214397602,"Dir",1,"1","EndAll"
"421","EML4",0.250169127,"Dir",1,"1","EndAll"
"422","EMP3",0.239841326,"Dir",1,"1","EndAll"
"423","ENC1",0.500392576,"Dir",1,"1","EndAll"
"424","ENKD1",0.259454659,"Dir",1,"1","EndAll"
"425","ENPP7P11",0.853035789,"Dir",1,"1","EndAll"
"426","ENTPD1-AS1",0.726556762,"Dir",1,"1","EndAll"
"427","EPHB2",0.737666002,"Dir",1,"1","EndAll"
"428","EPOR",0.498108292,"Dir",1,"1","EndAll"
"429","EPS15",0.147281657,"Dir",1,"1","EndAll"
"430","EPS15-AS1",0.949513851,"Dir",1,"1","EndAll"
"431","EPS8L3",0.936585645,"Dir",1,"1","EndAll"
"432","EPSTI1",0.446407722,"Dir",2,"2","EndAll"
"433","ERCC1",0.129406818,"Dir",1,"1","EndAll"
"434","ERCC2",0.329197412,"Dir",1,"1","EndAll"
"435","ERI1",0.39922956,"Dir",1,"1","EndAll"
"436","ERP29",0.094308869,"Dir",2,"2","EndAll"
"437","ESR1",0.77420743,"Dir",1,"1","EndAll"
"438","ESRRA",0.246419963,"Dir",1,"1","EndAll"
"439","ETFA",0.163647298,"Dir",1,"1","EndAll"
"440","EVX1",0.873924987,"Dir",1,"1","EndAll"
"441","EVX1-AS",0.929270415,"Dir",1,"1","EndAll"
"442","EXOC3L2",0.595320855,"Dir",1,"1","EndAll"
"443","F5",0.853391438,"Dir",2,"2","EndAll"
"444","FAM118B",0.280549212,"Dir",1,"1","EndAll"
"445","FAM13A",0.310672967,"Dir",1,"1","EndAll"
"446","FAM13A-AS1",0.381182126,"Dir",1,"1","EndAll"
"447","FAM167A",0.820220987,"Dir",1,"1","EndAll"
"448","FAM167A-AS1",0.977796586,"Dir",1,"1","EndAll"
